Name,Web Url,Email Address,Address and Contact Number,Address,Contact Number,,,
Department of Science and Technology - Central Office (DOST-CO),http://www.dost.gov.ph,,"DOST Building, Gen. Santos Avenue Bicutan, Taguig City Metro Manila 1631 Philippines (632) 837-20-71 to 82 (632) 837-2937","DOST Building, Gen. Santos Avenue Bicutan, Taguig City Metro Manila 1631 Philippines ",632) 837-20-71 to 82 ,632) 837-2937,,
Advanced Science and Technology Institute (ASTI),http://www.asti.dost.gov.ph,info@asti.dost.gov.ph,"C.P. Garcia Avenue, Technology Park Complex U.P. Campus, Dilman, Quezon City 1101 Philippines +63 2 4269755; 4269760; 9273503; 927 +63 2 9258598",,,,,
Food and Nutrition Research Institute (FNRI),http://www.fnri.dost.gov.ph/,mas@fnri.dost.gov.ph,"FNRI Bldg., DOST Compound, Gen. Santos Avenue Bicutan, Taguig City Metro Manila PHILIPPINES 1631 (632) 837-2934 (632) 837-3164","FNRI Bldg., DOST Compound, Gen. Santos Avenue Bicutan, Taguig City Metro Manila PHILIPPINES 1631 ",632) 837-2934 ,632) 837-3164,,
 Forest Products Research and Development Institute (FPRDI),http://www.fprdi.dost.gov.ph/,fprdi@dost.gov.ph,"Narra Street, Forestry Campus, 4031 College, Laguna 4031 Philippines 63 495362360 63 495363630",,,,,
Industrial Technology Development Institute (ITDI),http://www.itdi.dost.gov.ph/,tsd@dost.gov.ph,"DOST Compound, Bicutan, Taguig, Metro Manila (632) 837-2071 to 82 Loc. 2265/2214 (632) 837-6156","DOST Compound, Bicutan, Taguig, Metro Manila ",632) 837-2071 to 82 Loc. 2265/2214 ,632) 837-6156,,
Metals Industry Research and  Development Center (MIRDC),http://www.mirdc.dost.gov.ph/,mirdc@mirdc.dost.gov.ph,"MIRDC Compound, Gen. Santos Ave. Bicutan, Tagig City Philippines 837-0431 to 38 8370613(OED);838-7879(ODED-TS);838-7878(ATD-HO)","MIRDC Compound, Gen. Santos Ave. Bicutan, Tagig City Philippines 837-0431 to 38 8370613",OED);838-7879,ODED-TS);838-7878,ATD-HO),
Philippine Nuclear Research Institute (PNRI),http://www.pnri.dost.gov.ph/,feedback@pnri.dost.gov.ph,"Commonwealth Avenue, Diliman, Quezon City (02) 929-6011","Commonwealth Avenue, Diliman, Quezon City ",02) 929-6011,,,
 Philippine Textile Research Institute (PTRI),http://www.ptri.dost.gov.ph/,ptri@dost.gov.ph,"General Santos Avenue, Bicutan, Taguig City Metro Manila Philippines 1631 (02)837-1325      (02)837-1325","General Santos Avenue, Bicutan, Taguig City Metro Manila Philippines 1631 ",02)837-1325      ,02)837-1325,,
"Philippine Council for Agriculture, Aquatic and Natural Resources Research and Development (PCAARRD)",http://www.pcaarrd.dost.gov.ph/,pcaarrd@pcaarrd.dost.gov.ph,"Paseo de Valmayor, Timugan, Economic Garden Los Baños, Laguna 4030 Philippines (049) 536 0014, 1956; 2303; 2383; 5907; 6980; 7927 (049) 536 0016; 536 7922","Paseo de Valmayor, Timugan, Economic Garden Los Baños, Laguna 4030 Philippines ","049) 536 0014, 1956; 2303; 2383; 5907; 6980; 7927 ",049) 536 0016; 536 7922,,
Philippine Council for Health Research and Development (PCHRD),http://www.pchrd.dost.gov.ph,info_pchrd@pchrd.dost.gov.ph,"3rd Flr DOST Main Building Gen. Santos Ave., Bicutan	 Taguig City 1631	 Philippines +632 8377534; +632 8377537 +632 8372924","3rd Flr DOST Main Building Gen. Santos Ave., Bicutan	 Taguig City 1631	 Philippines ",632 8377534; ,632 8377537 ,632 8372924,
